EnglishEasy;Global warming kg CO2;Terrestrial acidification kg SO2;Freshwater eutrophication kg P ;Marine eutrophication kg N ;Land use m2a crop;Water consumption m3;NEVO code;Food group;Food name;Energy (kJ);Energy (kcal);Protein (g);Fat (g);Fatty acids (g);Carbohydrates (g);Sugars (g);Fiber (g);Alcohol (g); Chloride (mg);Sodium (mg);Potassium (mg);Calcium (mg);Phosphorus (mg);Magnesium (mg);Iron (mg);Copper (mg);Selenium (�g);Zinc(mg);Iodine (�g);Vitamin D (�g);Vitamin E (mg);Vitamin K (�g);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin B6 (mg);Vitamin B12 (�g);Vitamin B3 (mg);Vitamin B3 (mg);Vitamin C (mg)
;0,615258128;0,001914273;5,56E-05;0,000533716;0,264589524;0,008916192;1456;Potatoes and tubers;Chips pre-fried frozen unprepared;614;146;2,3;3,8;3,7;24,4;0,4;2,5;0;0;34;426;9;77;21;0,5;0,11;1;0,37;2,4;0;0,6;0,2;0,07;0,03;0,172;0;1,6;1,2;17
0;0,108709902;0,000677535;9,44E-06;0,000141874;0,052204901;0,001018343;121;Potatoes and tubers;Potatoes mashed fresh prep with semi-skimmed milk and margarin;350;83;2,2;1,8;1,6;13,9;1,4;1,2;0;1;21;292;38;56;17;0,4;0,06;0;0,35;5,6;0,1;0,4;0,4;0,06;0,06;0,145;0,12;1,3;0,8;7
1;0,092314133;0,00047592;1,17E-05;0,000119007;0,035034618;0,001402564;982;Potatoes and tubers;Potatoes without skin boiled ;353;83;1,9;0,3;0,2;17,4;0,2;1,6;0;0;4;344;9;41;19;0,5;0,08;0;0,33;2,5;0;0,1;;0,06;0,01;0,187;0;1,4;1,1;9
2;0,070714556;0,000224979;1,13E-05;5,45E-05;0,026152547;0,001090175;390;Alcoholic beverages;Beer pilsner;185;44;0,4;0;0;3;0;0,3;4,3;0;3;54;3;28;8;0;0,01;0;0,03;;0;0;;0;0,03;0,055;0,03;1;1;0
3;0,248746451;0,000685207;6,54E-05;4,38E-06;0,007742409;0,004999392;401;Alcoholic beverages;Gin young Dutch;812;196;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;0;0
4;0,202083304;0,001001338;1,25E-05;9,21E-05;0,126426593;0,009204114;422;Alcoholic beverages;Wine red;341;82;0;0;0;3;3;0;10;0;7;70;8;12;10;0,6;0,02;0;0,05;7,4;0;0;;0;0,02;0,03;0;;0,1;0
5;0,215890867;0,001006265;1,21E-05;8,85E-05;0,121442908;0,008898443;2610;Alcoholic beverages;Wine rose;297;71;0,1;0;0;2,5;2,5;0;8,7;0;4;75;12;6;7;1;0,02;0;0;;0;0;;0;0,01;0,02;0;;0,1;0
6;0,227673599;0,001009268;1,17E-05;8,50E-05;0,116459223;0,008589752;423;Alcoholic beverages;Wine white dry;276;67;0,1;0;0;0,6;0,6;0;9,1;0;4;86;12;8;8;0,6;0,01;0;0,04;3,4;0;0;;0;0,01;0,02;0;;0,1;0
7;0,122950435;0,000714809;1,39E-05;0,000275739;0,109096078;0,001532075;2793;Bread;Wheat baguette white;1139;269;9,8;1,2;1;53,4;2,9;2,8;0;1;422;102;27;92;20;0,9;0,12;3;0,61;61,2;0;0,1;;0,07;0,04;0,029;0;;0,9;0
8;0,119814407;0,000699144;1,48E-05;0,000273174;0,125226222;0,002121229;2350;Bread;Multigrain bread white and brown with seeds;1099;261;12,3;4,8;4,1;39;2,1;6,3;0;1;411;220;45;168;57;1,8;0,24;6;1,24;59,5;0;0,1;;0,12;0,07;0,089;0;;1,7;0
9;0,143561611;0,000665307;1,50E-05;0,000221057;0,158925204;0,002401282;1395;Bread;Rye bread wholemeal/rye wheat bread brown ;826;196;5,8;1,3;1,1;36,1;7,9;8,2;0;0;297;240;33;174;57;2,6;0,18;1;1,49;43,1;0;0,9;;0,07;0,06;0,192;0;;1,1;0
10;0,119072034;0,000701971;1,46E-05;0,000280206;0,110737811;0,00213035;248;Bread;Wheat bread white water based;1046;247;9;1,6;1,4;47,8;2,2;2,5;0;1;414;115;29;84;19;0,8;0,12;4;0,6;60;0;0,1;;0,06;0,04;0,032;0;;0,9;0
11;0,103277029;0,000583644;1,22E-05;0,000231608;0,091493226;0,001647361;246;Bread;Wheat bread wholemeal fine and coarse;990;234;11,1;2,3;2,1;39;1,9;6,7;0;1;393;267;34;200;66;2;0,22;5;1,41;57;0;0,2;;0,11;0,07;0,103;0;;1,6;0
12;0,172594963;0,0010027;2,41E-05;0,00037016;0,215943491;0,009016973;2803;Bread;Wheat currant bun white;1134;268;8,4;2,5;2,3;50,9;31,8;4,2;0;5;387;330;50;105;29;1,7;0,25;3;0,64;56,2;0;0,7;;0,07;0,1;0,097;0;;1,3;0
13;0,177237578;0,001022932;1,91E-05;0,00030356;0,305541599;0,004204149;229;Bread;Crispbread ;1587;376;11,6;5,6;4,7;63,6;3,3;12,7;0;0;412;383;73;293;93;3,2;0,38;2;2,52;1,9;0;1;;0,25;0,13;0,245;0;;2;0
14;0,242444652;0,001083851;2,47E-05;0,000460648;0,348332391;0,003766486;2818;Bread;Croissant ;1684;403;9,6;21,1;20;42,3;4,5;2,5;0;32;466;100;24;83;17;0,7;0,11;4;0,69;0,5;0;1,8;;0,07;0,1;0,042;0;;1,2;0
15;0,119072034;0,000701971;1,46E-05;0,000280206;0,110737811;0,00213035;2795;Bread;Wheat bread roll white hard;1173;277;10;1,5;1,3;54,4;3;2,8;0;1;403;126;48;112;23;1;0,13;4;0,71;58,4;0;0,1;;0,08;0,04;0,044;0;;1,2;0
16;0,119072034;0,000701971;1,46E-05;0,000280206;0,110737811;0,00213035;230;Bread;Wheat bread roll white soft;1108;262;9,7;3,6;3,1;45,9;3,3;3,8;0;6;432;177;37;103;22;0,9;0,12;5;0,71;62,7;0;0,2;;0,07;0,1;0,04;0;;1,4;0
17;0,087839642;0,000180084;2,94E-06;9,89E-07;0,001517012;0,001135785;1897;Vegetables;Seaweed kelp raw;200;47;1,7;0,6;0,4;8,3;0,6;1,3;0;0;233;89;168;42;121;2,9;0,13;1;1,23;7553;0;0,9;;0,05;0,15;0,002;0;;0,5;3
18;0,432034306;0,005774453;4,04E-05;0,000471431;0,378510372;0,010702512;84;Eggs;Egg whole chicken boiled;535;128;12,3;8,8;7,3;0;0;0;0;371;149;141;64;247;15;2,4;0,07;20;1,63;35,5;1,8;4,2;0,3;0,08;0,35;0,114;1,54;3,4;0;0
19;0,184961095;0,000558321;1,38E-05;6,02E-05;0,02824953;0,005709998;179;Fruits;Apple sauce tinned;321;76;0,2;0,1;0,1;17,6;17,1;1,9;0;0;10;94;4;8;4;0,3;0,02;0;0,04;;0;0,4;0,5;0,02;0,02;0,05;0;;0,1;6
21;0,052542867;0,000256083;6,77E-06;5,40E-05;0,025116127;0,003772897;875;Fruits;Apple with skin ;238;56;0,3;0,2;0,1;12;10,4;2;0;0;1;123;4;11;5;0,1;0,03;0;0,08;2,5;0;0,3;3;0,01;0,01;0,034;0;0,2;0,2;5
22;0,146636822;0,000587016;1,17E-05;9,73E-05;0,133890511;0,060022915;149;Fruits;Apricots with skin;188;44;0,9;0,1;0,1;8;8;1,7;0;0;0;283;20;20;11;0,8;0,06;0;0,1;;0;0,5;3,3;0,06;0,05;0,06;0;;0,8;5
23;0,131531987;0,000866953;1,50E-05;0,000147492;0,216769688;0,128631142;689;Fruits;Avocado;767;186;2;18,4;17,3;1,8;0,5;3,1;0;0;5;429;15;50;26;0,5;0,3;0;0,6;1,5;0;2,7;21;0,11;0,14;0,32;0;;1,6;3
