Food group,Product,Vergelijkbaar product,Afstand
Alcoholic beverages,Beer pilsner,Wine white dry,5.130573737692262
Alcoholic beverages,Beer pilsner,Wine red,5.323617943489317
Alcoholic beverages,Beer pilsner,Wine rose,5.755354020091221
Alcoholic beverages,Gin young Dutch,Wine white dry,6.469971847293233
Alcoholic beverages,Gin young Dutch,Wine rose,6.617582470252502
Alcoholic beverages,Gin young Dutch,Wine red,7.079301744452167
Alcoholic beverages,Wine red,Wine white dry,3.8332634598073114
Alcoholic beverages,Wine red,Wine rose,4.610441203860933
Alcoholic beverages,Wine red,Beer pilsner,5.323617943489317
Alcoholic beverages,Wine rose,Wine white dry,2.5545678033238435
Alcoholic beverages,Wine rose,Wine red,4.610441203860933
Alcoholic beverages,Wine rose,Beer pilsner,5.755354020091221
Alcoholic beverages,Wine white dry,Wine rose,2.5545678033238435
Alcoholic beverages,Wine white dry,Wine red,3.8332634598073114
Alcoholic beverages,Wine white dry,Beer pilsner,5.130573737692262
Bread,Wheat baguette white,Wheat bread roll white soft,1.893137186121677
Bread,Wheat baguette white,Wheat currant bun white,3.111746285500365
Bread,Wheat baguette white,Wheat bread white water based,3.6133424726726937
Bread,Multigrain bread white and brown with seeds,Wheat bread roll white soft,3.294973697960193
Bread,Multigrain bread white and brown with seeds,Wheat currant bun white,3.874266448322707
Bread,Multigrain bread white and brown with seeds,Wheat baguette white,4.212770607976563
Bread,Rye bread wholemeal/rye wheat bread brown ,Wheat currant bun white,3.8582688578263347
Bread,Rye bread wholemeal/rye wheat bread brown ,Wheat baguette white,4.525467157371716
Bread,Rye bread wholemeal/rye wheat bread brown ,Wheat bread roll white soft,5.034598627582357
Bread,Wheat bread white water based,Wheat baguette white,3.6133424726726937
Bread,Wheat bread white water based,Wheat bread roll white soft,3.759030213626992
Bread,Wheat bread white water based,Wheat currant bun white,4.61124044900462
Bread,Wheat bread wholemeal fine and coarse,Multigrain bread white and brown with seeds,4.246198168349171
Bread,Wheat bread wholemeal fine and coarse,Wheat bread roll white soft,5.473060819562727
Bread,Wheat bread wholemeal fine and coarse,Wheat currant bun white,5.567329571086805
Bread,Wheat currant bun white,Wheat bread roll white soft,2.60647798492642
Bread,Wheat currant bun white,Wheat baguette white,3.111746285500365
Bread,Wheat currant bun white,Rye bread wholemeal/rye wheat bread brown ,3.858268857826335
Bread,Crispbread ,Wheat currant bun white,6.952201522227766
Bread,Crispbread ,Multigrain bread white and brown with seeds,7.550672947835435
Bread,Crispbread ,Wheat bread roll white soft,7.95164884245732
Bread,Croissant ,Wheat baguette white,5.735257388929956
Bread,Croissant ,Wheat bread roll white soft,5.737601837477273
Bread,Croissant ,Wheat currant bun white,6.610239373232954
Bread,Wheat bread roll white hard,Wheat bread roll white soft,4.775893088298043
Bread,Wheat bread roll white hard,Wheat bread white water based,4.784126141128601
Bread,Wheat bread roll white hard,Wheat baguette white,4.868442942510613
Bread,Wheat bread roll white soft,Wheat baguette white,1.893137186121677
Bread,Wheat bread roll white soft,Wheat currant bun white,2.60647798492642
Bread,Wheat bread roll white soft,Multigrain bread white and brown with seeds,3.294973697960193
Cereals and cereal products,Dough for pizza and savoury pie unprepared,Pasta white boiled,3.3925238978123526
Cereals and cereal products,Dough for pizza and savoury pie unprepared,Rice white boiled,3.5612799432430875
Cereals and cereal products,Dough for pizza and savoury pie unprepared,Pancake homemade prepared with margarin,4.460301900534255
Cereals and cereal products,Flour wheat white,Pasta white boiled,4.29279762123746
Cereals and cereal products,Flour wheat white,Dough for pizza and savoury pie unprepared,4.664942188578841
Cereals and cereal products,Flour wheat white,Rice white boiled,5.344431200379002
Cereals and cereal products,Muesli crunchy plain/w fruit,Oatmeal,6.216249630822287
Cereals and cereal products,Muesli crunchy plain/w fruit,Dough for pizza and savoury pie unprepared,6.731794441493172
Cereals and cereal products,Muesli crunchy plain/w fruit,Flour wheat white,6.776498740798039
Cereals and cereal products,Oatmeal,Flour wheat white,5.917270328947167
Cereals and cereal products,Oatmeal,Muesli crunchy plain/w fruit,6.216249630822287
Cereals and cereal products,Oatmeal,Pasta white boiled,6.60897885779942
Cereals and cereal products,Pancake homemade prepared with margarin,Dough for pizza and savoury pie unprepared,4.460301900534255
Cereals and cereal products,Pancake homemade prepared with margarin,Pasta white boiled,5.622399273788342
Cereals and cereal products,Pancake homemade prepared with margarin,Rice white boiled,5.89025790667001
Cereals and cereal products,Pasta white boiled,Rice white boiled,2.835191008366005
Cereals and cereal products,Pasta white boiled,Dough for pizza and savoury pie unprepared,3.3925238978123526
Cereals and cereal products,Pasta white boiled,Flour wheat white,4.29279762123746
Cereals and cereal products,Rice brown boiled,Rice white boiled,4.179469627595739
Cereals and cereal products,Rice brown boiled,Pasta white boiled,4.969262174944383
Cereals and cereal products,Rice brown boiled,Dough for pizza and savoury pie unprepared,5.135752225710311
Cereals and cereal products,Rice white boiled,Pasta white boiled,2.835191008366005
Cereals and cereal products,Rice white boiled,Dough for pizza and savoury pie unprepared,3.5612799432430875
Cereals and cereal products,Rice white boiled,Rice brown boiled,4.179469627595739
Cheese,Cheese 20+,Cheese Gouda 48+ ,4.483458135542656
Cheese,Cheese 20+,Cheese Edam 40+,4.575171347626208
Cheese,Cheese 20+,Cheese spread 48+ full fat,4.984287790546548
Cheese,Cheese Edam 40+,Cheese Gouda 48+ ,3.736851887337856
Cheese,Cheese Edam 40+,Cheese 20+,4.575171347626208
Cheese,Cheese Edam 40+,Cheese spread 48+ full fat,4.870497574709668
Cheese,Cheese goat fresh,Cheese Mozzarella made from cow's milk,4.7540294837595
Cheese,Cheese goat fresh,Cheese spread 48+ full fat,7.1663466853323925
Cheese,Cheese goat fresh,Cheese Gouda 48+ ,7.764618918995075
Cheese,Cheese Gouda 48+ ,Cheese Edam 40+,3.736851887337856
Cheese,Cheese Gouda 48+ ,Cheese 20+,4.483458135542656
Cheese,Cheese Gouda 48+ ,Cheese Mozzarella made from cow's milk,5.300693921396993
Cheese,Cheese Mozzarella made from cow's milk,Cheese goat fresh,4.7540294837595
Cheese,Cheese Mozzarella made from cow's milk,Cheese Gouda 48+ ,5.300693921396993
Cheese,Cheese Mozzarella made from cow's milk,Cheese spread 48+ full fat,5.401205415583868
Cheese,Cheese Old Amsterdam 48+,Cheese Gouda 48+ ,5.626583574391543
Cheese,Cheese Old Amsterdam 48+,Cheese Edam 40+,5.914887459668506
Cheese,Cheese Old Amsterdam 48+,Cheese 20+,6.989535556382575
Cheese,Cheese spread 48+ full fat,Cheese Edam 40+,4.870497574709668
Cheese,Cheese spread 48+ full fat,Cheese 20+,4.984287790546548
Cheese,Cheese spread 48+ full fat,Cheese Mozzarella made from cow's milk,5.401205415583868
Cold meat cuts,Bacon rasher streaky,Sausage luncheon meat,4.878789918612777
Cold meat cuts,Bacon rasher streaky,Salami sausage saveloy,4.974538075808953
Cold meat cuts,Bacon rasher streaky,Sausage cooked,5.243310757247175
Cold meat cuts,Beef smoke-dried,Chicken (processed meat product),6.291895038070993
Cold meat cuts,Beef smoke-dried,Ham lean boiled,6.3434035288311765
Cold meat cuts,Beef smoke-dried,Bacon rasher streaky,6.343702815625706
Cold meat cuts,Chicken (processed meat product),Ham shoulder medium fat boiled,5.0010846668900495
Cold meat cuts,Chicken (processed meat product),Ham lean boiled,5.111829458279236
Cold meat cuts,Chicken (processed meat product),Bacon rasher streaky,5.550637238033476
Cold meat cuts,Beef steak tartare spiced filet americain,Sausage luncheon meat,5.408642217468608
Cold meat cuts,Beef steak tartare spiced filet americain,Liver pate sausage,5.548789925385536
Cold meat cuts,Beef steak tartare spiced filet americain,Bacon rasher streaky,5.657300764409062
Cold meat cuts,Ham lean boiled,Ham shoulder medium fat boiled,2.623611221817357
Cold meat cuts,Ham lean boiled,Sausage luncheon meat,4.869337724696584
Cold meat cuts,Ham lean boiled,Chicken (processed meat product),5.111829458279236
Cold meat cuts,Ham shoulder medium fat boiled,Ham lean boiled,2.623611221817357
Cold meat cuts,Ham shoulder medium fat boiled,Sausage luncheon meat,4.136497977832407
Cold meat cuts,Ham shoulder medium fat boiled,Chicken (processed meat product),5.0010846668900495
Cold meat cuts,Liver pate sausage,Sausage luncheon meat,4.683746513509306
Cold meat cuts,Liver pate sausage,Beef steak tartare spiced filet americain,5.548789925385536
Cold meat cuts,Liver pate sausage,Sausage cooked,5.837384892011886
Cold meat cuts,Meatloaf (processed meat product),Sausage luncheon meat,4.277783724547394
Cold meat cuts,Meatloaf (processed meat product),Sausage cooked,5.191943441782295
Cold meat cuts,Meatloaf (processed meat product),Salami sausage saveloy,5.241960612467237
Cold meat cuts,Sausage cooked,Salami sausage saveloy,3.162905611710846
Cold meat cuts,Sausage cooked,Sausage luncheon meat,3.876101726469768
Cold meat cuts,Sausage cooked,Meatloaf (processed meat product),5.191943441782295
Cold meat cuts,Sausage luncheon meat,Sausage cooked,3.876101726469768
Cold meat cuts,Sausage luncheon meat,Ham shoulder medium fat boiled,4.136497977832407
Cold meat cuts,Sausage luncheon meat,Meatloaf (processed meat product),4.277783724547394
Cold meat cuts,Sausage raw beef,Sausage luncheon meat,5.1898362141680305
Cold meat cuts,Sausage raw beef,Ham shoulder medium fat boiled,5.450808667997338
Cold meat cuts,Sausage raw beef,Ham lean boiled,5.875835035044109
Cold meat cuts,Salami sausage saveloy,Sausage cooked,3.162905611710846
